年度,縣市別,行業別,統計項目,單位,中小企業(百萬元),大企業(百萬元)
2013,屏東縣,不動產業,銷售額,百萬元,2332, 
2013,澎湖縣,不動產業,銷售額,百萬元,450,0
2013,花蓮縣,不動產業,銷售額,百萬元,2354,1125
2013,臺東縣,不動產業,銷售額,百萬元,1031,1283
2013,金門縣,不動產業,銷售額,百萬元,996,0
2013,連江縣,不動產業,銷售額,百萬元,0,0
2013,總計,專業、科學及技術服務業,銷售額,百萬元,198268,455525
2013,臺北市,專業、科學及技術服務業,銷售額,百萬元,91803,263482
2013,新北市,專業、科學及技術服務業,銷售額,百萬元,29972,35322
2013,桃園縣,專業、科學及技術服務業,銷售額,百萬元,12977,25821
2013,臺中市,專業、科學及技術服務業,銷售額,百萬元,21729,12112
2013,臺南市,專業、科學及技術服務業,銷售額,百萬元,6978,3998
2013,高雄市,專業、科學及技術服務業,銷售額,百萬元,14881,8012
2013,基隆市,專業、科學及技術服務業,銷售額,百萬元,1040,0
2013,宜蘭縣,專業、科學及技術服務業,銷售額,百萬元,1303, 
2013,新竹市,專業、科學及技術服務業,銷售額,百萬元,3721,28678
2013,新竹縣,專業、科學及技術服務業,銷售額,百萬元,3898,72583
2013,苗栗縣,專業、科學及技術服務業,銷售額,百萬元,1192, 
2013,彰化縣,專業、科學及技術服務業,銷售額,百萬元,2160,1476
2013,南投縣,專業、科學及技術服務業,銷售額,百萬元,1120,0
2013,雲林縣,專業、科學及技術服務業,銷售額,百萬元,1230, 
2013,嘉義市,專業、科學及技術服務業,銷售額,百萬元,1116, 
2013,嘉義縣,專業、科學及技術服務業,銷售額,百萬元,723, 
2013,屏東縣,專業、科學及技術服務業,銷售額,百萬元,979, 
2013,澎湖縣,專業、科學及技術服務業,銷售額,百萬元, ,0
2013,花蓮縣,專業、科學及技術服務業,銷售額,百萬元,628, 
2013,臺東縣,專業、科學及技術服務業,銷售額,百萬元,440,0
2013,金門縣,專業、科學及技術服務業,銷售額,百萬元,227,0
2013,連江縣,專業、科學及技術服務業,銷售額,百萬元,49,0
2013,總計,支援服務業,銷售額,百萬元,131896,264220
2013,臺北市,支援服務業,銷售額,百萬元,33388,201848
2013,新北市,支援服務業,銷售額,百萬元,19066,14486
2013,桃園縣,支援服務業,銷售額,百萬元,14800,7425
2013,臺中市,支援服務業,銷售額,百萬元,17049,9649
2013,臺南市,支援服務業,銷售額,百萬元,6690,4103
2013,高雄市,支援服務業,銷售額,百萬元,15757,15106
2013,基隆市,支援服務業,銷售額,百萬元,1497, 
2013,宜蘭縣,支援服務業,銷售額,百萬元,1450, 
2013,新竹市,支援服務業,銷售額,百萬元,3621,3370
2013,新竹縣,支援服務業,銷售額,百萬元,2721,3946
2013,苗栗縣,支援服務業,銷售額,百萬元,2305, 
2013,彰化縣,支援服務業,銷售額,百萬元,2988, 
2013,南投縣,支援服務業,銷售額,百萬元,1312,0
2013,雲林縣,支援服務業,銷售額,百萬元,1628, 
2013,嘉義市,支援服務業,銷售額,百萬元,1445,0
2013,嘉義縣,支援服務業,銷售額,百萬元,1073, 
2013,屏東縣,支援服務業,銷售額,百萬元,1718, 
2013,澎湖縣,支援服務業,銷售額,百萬元,644,0
2013,花蓮縣,支援服務業,銷售額,百萬元,1365, 
2013,臺東縣,支援服務業,銷售額,百萬元,755,0
2013,金門縣,支援服務業,銷售額,百萬元,591,0
2013,連江縣,支援服務業,銷售額,百萬元,33,0
2013,總計,教育服務業,銷售額,百萬元,7822,2701
2013,臺北市,教育服務業,銷售額,百萬元,2811, 
2013,新北市,教育服務業,銷售額,百萬元,844, 
2013,桃園縣,教育服務業,銷售額,百萬元,421, 
2013,臺中市,教育服務業,銷售額,百萬元,982,0
2013,臺南市,教育服務業,銷售額,百萬元,634,0
2013,高雄市,教育服務業,銷售額,百萬元,1050,0
2013,基隆市,教育服務業,銷售額,百萬元,20,0
2013,宜蘭縣,教育服務業,銷售額,百萬元,66,0
2013,新竹市,教育服務業,銷售額,百萬元,303,0
2013,新竹縣,教育服務業,銷售額,百萬元,84,0
2013,苗栗縣,教育服務業,銷售額,百萬元,26,0
2013,彰化縣,教育服務業,銷售額,百萬元,156,0
2013,南投縣,教育服務業,銷售額,百萬元,71,0
2013,雲林縣,教育服務業,銷售額,百萬元,58,0
2013,嘉義市,教育服務業,銷售額,百萬元,97,0
2013,嘉義縣,教育服務業,銷售額,百萬元,18,0
2013,屏東縣,教育服務業,銷售額,百萬元,106,0
2013,澎湖縣,教育服務業,銷售額,百萬元,5,0
2013,花蓮縣,教育服務業,銷售額,百萬元,24,0
2013,臺東縣,教育服務業,銷售額,百萬元,37,0
2013,金門縣,教育服務業,銷售額,百萬元, ,0
2013,連江縣,教育服務業,銷售額,百萬元, ,0
2013,總計,醫療保健及社會工作服務業,銷售額,百萬元,2179,3856
2013,臺北市,醫療保健及社會工作服務業,銷售額,百萬元,896,2768
2013,新北市,醫療保健及社會工作服務業,銷售額,百萬元,239, 
2013,桃園縣,醫療保健及社會工作服務業,銷售額,百萬元,66,0
2013,臺中市,醫療保健及社會工作服務業,銷售額,百萬元,160, 
2013,臺南市,醫療保健及社會工作服務業,銷售額,百萬元,116,0
2013,高雄市,醫療保健及社會工作服務業,銷售額,百萬元,299, 
2013,基隆市,醫療保健及社會工作服務業,銷售額,百萬元,14,0
2013,宜蘭縣,醫療保健及社會工作服務業,銷售額,百萬元,12,0
2013,新竹市,醫療保健及社會工作服務業,銷售額,百萬元,61,0
2013,新竹縣,醫療保健及社會工作服務業,銷售額,百萬元,91,0
2013,苗栗縣,醫療保健及社會工作服務業,銷售額,百萬元,12,0
2013,彰化縣,醫療保健及社會工作服務業,銷售額,百萬元,45,0
2013,南投縣,醫療保健及社會工作服務業,銷售額,百萬元,24,0
2013,雲林縣,醫療保健及社會工作服務業,銷售額,百萬元,18,0
2013,嘉義市,醫療保健及社會工作服務業,銷售額,百萬元,23,0
2013,嘉義縣,醫療保健及社會工作服務業,銷售額,百萬元,0,0
2013,屏東縣,醫療保健及社會工作服務業,銷售額,百萬元,23,0
2013,澎湖縣,醫療保健及社會工作服務業,銷售額,百萬元,0,0
2013,花蓮縣,醫療保健及社會工作服務業,銷售額,百萬元,65,0
2013,臺東縣,醫療保健及社會工作服務業,銷售額,百萬元,13,0
2013,金門縣,醫療保健及社會工作服務業,銷售額,百萬元, ,0
2013,連江縣,醫療保健及社會工作服務業,銷售額,百萬元,0,0
2013,總計,藝術、娛樂及休閒服務業,銷售額,百萬元,48626,31441
2013,臺北市,藝術、娛樂及休閒服務業,銷售額,百萬元,12679,13967
2013,新北市,藝術、娛樂及休閒服務業,銷售額,百萬元,6266,3048
2013,桃園縣,藝術、娛樂及休閒服務業,銷售額,百萬元,3324,2529
2013,臺中市,藝術、娛樂及休閒服務業,銷售額,百萬元,5462,1438
2013,臺南市,藝術、娛樂及休閒服務業,銷售額,百萬元,3423, 
2013,高雄市,藝術、娛樂及休閒服務業,銷售額,百萬元,5792,2139
2013,基隆市,藝術、娛樂及休閒服務業,銷售額,百萬元,700, 
2013,宜蘭縣,藝術、娛樂及休閒服務業,銷售額,百萬元,891, 
2013,新竹市,藝術、娛樂及休閒服務業,銷售額,百萬元,1120, 
2013,新竹縣,藝術、娛樂及休閒服務業,銷售額,百萬元,998, 
2013,苗栗縣,藝術、娛樂及休閒服務業,銷售額,百萬元,681, 
2013,彰化縣,藝術、娛樂及休閒服務業,銷售額,百萬元,1591,0
2013,南投縣,藝術、娛樂及休閒服務業,銷售額,百萬元,880, 
2013,雲林縣,藝術、娛樂及休閒服務業,銷售額,百萬元,777, 
2013,嘉義市,藝術、娛樂及休閒服務業,銷售額,百萬元,830,0
2013,嘉義縣,藝術、娛樂及休閒服務業,銷售額,百萬元,400, 
2013,屏東縣,藝術、娛樂及休閒服務業,銷售額,百萬元,1483, 
2013,澎湖縣,藝術、娛樂及休閒服務業,銷售額,百萬元,182,0
2013,花蓮縣,藝術、娛樂及休閒服務業,銷售額,百萬元,560, 
2013,臺東縣,藝術、娛樂及休閒服務業,銷售額,百萬元,421,0
2013,金門縣,藝術、娛樂及休閒服務業,銷售額,百萬元,121,0
2013,連江縣,藝術、娛樂及休閒服務業,銷售額,百萬元,45,0
2013,總計,其他服務業,銷售額,百萬元,113942,104652
2013,臺北市,其他服務業,銷售額,百萬元,22737,54098
2013,新北市,其他服務業,銷售額,百萬元,13497,8244
2013,桃園縣,其他服務業,銷售額,百萬元,9121,8728
2013,臺中市,其他服務業,銷售額,百萬元,14302,8310
2013,臺南市,其他服務業,銷售額,百萬元,9009, 
2013,高雄市,其他服務業,銷售額,百萬元,13770,7886
2013,基隆市,其他服務業,銷售額,百萬元,1684, 
2013,宜蘭縣,其他服務業,銷售額,百萬元,2068, 
2013,新竹市,其他服務業,銷售額,百萬元,2654, 
2013,新竹縣,其他服務業,銷售額,百萬元,2363, 
2013,苗栗縣,其他服務業,銷售額,百萬元,2117, 
2013,彰化縣,其他服務業,銷售額,百萬元,5917, 
2013,南投縣,其他服務業,銷售額,百萬元,2001, 
2013,雲林縣,其他服務業,銷售額,百萬元,2522, 
2013,嘉義市,其他服務業,銷售額,百萬元,1922, 
2013,嘉義縣,其他服務業,銷售額,百萬元,1581, 
2013,屏東縣,其他服務業,銷售額,百萬元,3586,2484
2013,澎湖縣,其他服務業,銷售額,百萬元,368,0
2013,花蓮縣,其他服務業,銷售額,百萬元,1548, 
2013,臺東縣,其他服務業,銷售額,百萬元,918, 
2013,金門縣,其他服務業,銷售額,百萬元,210,0
2013,連江縣,其他服務業,銷售額,百萬元,45,0
2014,總計,農林漁牧業,銷售額,百萬元,23508,23627
2014,臺北市,農林漁牧業,銷售額,百萬元,1851,9729
2014,新北市,農林漁牧業,銷售額,百萬元,1291, 
2014,桃園縣,農林漁牧業,銷售額,百萬元,1442, 
2014,臺中市,農林漁牧業,銷售額,百萬元,1215, 
2014,臺南市,農林漁牧業,銷售額,百萬元,1509, 
2014,高雄市,農林漁牧業,銷售額,百萬元,7981,2012
2014,基隆市,農林漁牧業,銷售額,百萬元,195,-
2014,宜蘭縣,農林漁牧業,銷售額,百萬元,611,-
2014,新竹市,農林漁牧業,銷售額,百萬元,48, 
