年度,縣市別,行業別,統計項目,單位,中小企業(家),大企業(家)
2013,高雄市,專業、科學及技術服務業,家數,家,3730,23
2013,基隆市,專業、科學及技術服務業,家數,家,351,0
2013,宜蘭縣,專業、科學及技術服務業,家數,家,513, 
2013,新竹市,專業、科學及技術服務業,家數,家,723,26
2013,新竹縣,專業、科學及技術服務業,家數,家,638,24
2013,苗栗縣,專業、科學及技術服務業,家數,家,413, 
2013,彰化縣,專業、科學及技術服務業,家數,家,947,6
2013,南投縣,專業、科學及技術服務業,家數,家,415,0
2013,雲林縣,專業、科學及技術服務業,家數,家,422, 
2013,嘉義市,專業、科學及技術服務業,家數,家,391, 
2013,嘉義縣,專業、科學及技術服務業,家數,家,220, 
2013,屏東縣,專業、科學及技術服務業,家數,家,558, 
2013,澎湖縣,專業、科學及技術服務業,家數,家,47,0
2013,花蓮縣,專業、科學及技術服務業,家數,家,348, 
2013,臺東縣,專業、科學及技術服務業,家數,家,179,0
2013,金門縣,專業、科學及技術服務業,家數,家,105,0
2013,連江縣,專業、科學及技術服務業,家數,家,16,0
2013,總計,支援服務業,家數,家,28607,432
2013,臺北市,支援服務業,家數,家,4712,194
2013,新北市,支援服務業,家數,家,4046,56
2013,桃園縣,支援服務業,家數,家,2818,33
2013,臺中市,支援服務業,家數,家,3770,39
2013,臺南市,支援服務業,家數,家,1987,17
2013,高雄市,支援服務業,家數,家,3433,48
2013,基隆市,支援服務業,家數,家,453, 
2013,宜蘭縣,支援服務業,家數,家,555, 
2013,新竹市,支援服務業,家數,家,669,15
2013,新竹縣,支援服務業,家數,家,544,11
2013,苗栗縣,支援服務業,家數,家,600, 
2013,彰化縣,支援服務業,家數,家,928, 
2013,南投縣,支援服務業,家數,家,504,0
2013,雲林縣,支援服務業,家數,家,416, 
2013,嘉義市,支援服務業,家數,家,413,0
2013,嘉義縣,支援服務業,家數,家,441, 
2013,屏東縣,支援服務業,家數,家,808, 
2013,澎湖縣,支援服務業,家數,家,392,0
2013,花蓮縣,支援服務業,家數,家,514, 
2013,臺東縣,支援服務業,家數,家,384,0
2013,金門縣,支援服務業,家數,家,179,0
2013,連江縣,支援服務業,家數,家,41,0
2013,總計,教育服務業,家數,家,1622,8
2013,臺北市,教育服務業,家數,家,500, 
2013,新北市,教育服務業,家數,家,196, 
2013,桃園縣,教育服務業,家數,家,101, 
2013,臺中市,教育服務業,家數,家,212,0
2013,臺南市,教育服務業,家數,家,111,0
2013,高雄市,教育服務業,家數,家,213,0
2013,基隆市,教育服務業,家數,家,11,0
2013,宜蘭縣,教育服務業,家數,家,22,0
2013,新竹市,教育服務業,家數,家,62,0
2013,新竹縣,教育服務業,家數,家,20,0
2013,苗栗縣,教育服務業,家數,家,12,0
2013,彰化縣,教育服務業,家數,家,34,0
2013,南投縣,教育服務業,家數,家,20,0
2013,雲林縣,教育服務業,家數,家,22,0
2013,嘉義市,教育服務業,家數,家,13,0
2013,嘉義縣,教育服務業,家數,家,10,0
2013,屏東縣,教育服務業,家數,家,22,0
2013,澎湖縣,教育服務業,家數,家,11,0
2013,花蓮縣,教育服務業,家數,家,14,0
2013,臺東縣,教育服務業,家數,家,10,0
2013,金門縣,教育服務業,家數,家,,0
2013,連江縣,教育服務業,家數,家,,0
2013,總計,醫療保健及社會工作服務業,家數,家,604,12
2013,臺北市,醫療保健及社會工作服務業,家數,家,132,8
2013,新北市,醫療保健及社會工作服務業,家數,家,56, 
2013,桃園縣,醫療保健及社會工作服務業,家數,家,26,0
2013,臺中市,醫療保健及社會工作服務業,家數,家,68, 
2013,臺南市,醫療保健及社會工作服務業,家數,家,55,0
2013,高雄市,醫療保健及社會工作服務業,家數,家,98, 
2013,基隆市,醫療保健及社會工作服務業,家數,家,9,0
2013,宜蘭縣,醫療保健及社會工作服務業,家數,家,31,0
2013,新竹市,醫療保健及社會工作服務業,家數,家,14,0
2013,新竹縣,醫療保健及社會工作服務業,家數,家,9,0
2013,苗栗縣,醫療保健及社會工作服務業,家數,家,7,0
2013,彰化縣,醫療保健及社會工作服務業,家數,家,17,0
2013,南投縣,醫療保健及社會工作服務業,家數,家,15,0
2013,雲林縣,醫療保健及社會工作服務業,家數,家,7,0
2013,嘉義市,醫療保健及社會工作服務業,家數,家,8,0
2013,嘉義縣,醫療保健及社會工作服務業,家數,家,0,0
2013,屏東縣,醫療保健及社會工作服務業,家數,家,28,0
2013,澎湖縣,醫療保健及社會工作服務業,家數,家,,0
2013,花蓮縣,醫療保健及社會工作服務業,家數,家,15,0
2013,臺東縣,醫療保健及社會工作服務業,家數,家,6,0
2013,金門縣,醫療保健及社會工作服務業,家數,家,,0
2013,連江縣,醫療保健及社會工作服務業,家數,家,0,0
2013,總計,藝術、娛樂及休閒服務業,家數,家,23791,108
2013,臺北市,藝術、娛樂及休閒服務業,家數,家,3740,37
2013,新北市,藝術、娛樂及休閒服務業,家數,家,3172,15
2013,桃園縣,藝術、娛樂及休閒服務業,家數,家,1743,13
2013,臺中市,藝術、娛樂及休閒服務業,家數,家,2201,6
2013,臺南市,藝術、娛樂及休閒服務業,家數,家,1870, 
2013,高雄市,藝術、娛樂及休閒服務業,家數,家,2848,11
2013,基隆市,藝術、娛樂及休閒服務業,家數,家,413, 
2013,宜蘭縣,藝術、娛樂及休閒服務業,家數,家,525, 
2013,新竹市,藝術、娛樂及休閒服務業,家數,家,445, 
2013,新竹縣,藝術、娛樂及休閒服務業,家數,家,505, 
2013,苗栗縣,藝術、娛樂及休閒服務業,家數,家,538, 
2013,彰化縣,藝術、娛樂及休閒服務業,家數,家,1160,0
2013,南投縣,藝術、娛樂及休閒服務業,家數,家,745, 
2013,雲林縣,藝術、娛樂及休閒服務業,家數,家,661, 
2013,嘉義市,藝術、娛樂及休閒服務業,家數,家,396,0
2013,嘉義縣,藝術、娛樂及休閒服務業,家數,家,417, 
2013,屏東縣,藝術、娛樂及休閒服務業,家數,家,1229, 
2013,澎湖縣,藝術、娛樂及休閒服務業,家數,家,136,0
2013,花蓮縣,藝術、娛樂及休閒服務業,家數,家,395, 
2013,臺東縣,藝術、娛樂及休閒服務業,家數,家,458,0
2013,金門縣,藝術、娛樂及休閒服務業,家數,家,140,0
2013,連江縣,藝術、娛樂及休閒服務業,家數,家,54,0
2013,總計,其他服務業,家數,家,77447,191
2013,臺北市,其他服務業,家數,家,9264,65
2013,新北市,其他服務業,家數,家,8639,22
2013,桃園縣,其他服務業,家數,家,5962,17
2013,臺中市,其他服務業,家數,家,9836,23
2013,臺南市,其他服務業,家數,家,7742, 
2013,高雄市,其他服務業,家數,家,10793,23
2013,基隆市,其他服務業,家數,家,1432, 
2013,宜蘭縣,其他服務業,家數,家,1664, 
2013,新竹市,其他服務業,家數,家,1702, 
2013,新竹縣,其他服務業,家數,家,1634, 
2013,苗栗縣,其他服務業,家數,家,1854, 
2013,彰化縣,其他服務業,家數,家,4676, 
2013,南投縣,其他服務業,家數,家,1563, 
2013,雲林縣,其他服務業,家數,家,2031, 
2013,嘉義市,其他服務業,家數,家,1508, 
2013,嘉義縣,其他服務業,家數,家,1394, 
2013,屏東縣,其他服務業,家數,家,3084,6
2013,澎湖縣,其他服務業,家數,家,320,0
2013,花蓮縣,其他服務業,家數,家,1262, 
2013,臺東縣,其他服務業,家數,家,805, 
2013,金門縣,其他服務業,家數,家,234,0
2013,連江縣,其他服務業,家數,家,48,0
2014,總計,農林漁牧業,家數,家,11568,70
2014,臺北市,農林漁牧業,家數,家,408,18
2014,新北市,農林漁牧業,家數,家,920, 
2014,桃園縣,農林漁牧業,家數,家,603, 
2014,臺中市,農林漁牧業,家數,家,425, 
2014,臺南市,農林漁牧業,家數,家,322, 
2014,高雄市,農林漁牧業,家數,家,4192,12
2014,基隆市,農林漁牧業,家數,家,27,0
2014,宜蘭縣,農林漁牧業,家數,家,1265,0
2014,新竹市,農林漁牧業,家數,家,247, 
2014,新竹縣,農林漁牧業,家數,家,166, 
