年度,行業別,統計項目,單位,全部企業(百萬元),中小企業(百萬元),大企業(百萬元)
2022,食品及飼品製造業,出口額,百萬元,45312,16734,28578
2022,飲料製造業,出口額,百萬元,2280,367,1913
2022,紡織業,出口額,百萬元,186443,20075,166368
2022,成衣及服飾品製造業,出口額,百萬元,18903,9300,9603
2022,皮革、毛皮及其製品製造業,出口額,百萬元,27454,8519,18935
2022,木竹製品製造業,出口額,百萬元,3569,2446,1123
2022,紙漿、紙及紙製品製造業,出口額,百萬元,36706,7078,29627
2022,印刷及資料儲存媒體複製業,出口額,百萬元,96994,4135,92859
2022,石油及煤製品製造業,出口額,百萬元,504918,1251,503667
2022,化學原材料、肥料、氮化合物、塑橡膠原料及人造纖維製造業,出口額,百萬元,600416,35811,564605
2022,其他化學製品製造業,出口額,百萬元,102811,29002,73809
2022,藥品及醫用化學製品製造業,出口額,百萬元,23417,2542,20875
2022,橡膠製品製造業,出口額,百萬元,96866,19319,77548
2022,塑膠製品製造業,出口額,百萬元,136011,55406,80605
2022,非金屬礦物製品製造業,出口額,百萬元,52275,15854,36421
2022,基本金屬製造業,出口額,百萬元,426914,33485,393428
2022,金屬製品製造業,出口額,百萬元,428869,162170,266699
2022,電子零組件製造業,出口額,百萬元,5096973,443215,4653758
2022,電腦、電子產品及光學製品製造業,出口額,百萬元,1034192,67077,967115
2022,電力設備及配備製造業,出口額,百萬元,309195,35148,274046
2022,機械設備製造業,出口額,百萬元,414837,171812,243025
2022,汽車及其零件製造業,出口額,百萬元,134650,19712,114938
2022,其他運輸工具及其零件製造業,出口額,百萬元,274110,126226,147884
2022,家具製造業,出口額,百萬元,31747,18242,13504
2022,其他製造業,出口額,百萬元,125468,31705,93763
2022,產業用機械設備維修及安裝業,出口額,百萬元,42455,21599,20855
2023,總計,出口額,百萬元,9110758,1137308,7973450
2023,食品及飼品製造業,出口額,百萬元,50204,16688,33516
2023,飲料製造業,出口額,百萬元,2448,389,2059
2023,紡織業,出口額,百萬元,154734,16221,138513
2023,成衣及服飾品製造業,出口額,百萬元,11170,6601,4569
2023,皮革、毛皮及其製品製造業,出口額,百萬元,22706,6661,16045
2023,木竹製品製造業,出口額,百萬元,2990,2334,656
2023,紙漿、紙及紙製品製造業,出口額,百萬元,31856,6172,25684
2023,印刷及資料儲存媒體複製業,出口額,百萬元,69601,4225,65376
2023,石油及煤製品製造業,出口額,百萬元,392182,3633,388549
2023,化學材料及肥料製造業,出口額,百萬元,422013,30798,391215
2023,其他化學製品製造業,出口額,百萬元,91479,27702,63778
2023,藥品及醫用化學製品製造業,出口額,百萬元,23171,2842,20329
2023,橡膠製品製造業,出口額,百萬元,84691,16137,68554
2023,塑膠製品製造業,出口額,百萬元,119849,48711,71138
2023,非金屬礦物製品製造業,出口額,百萬元,49029,14217,34812
2023,基本金屬製造業,出口額,百萬元,402229,28082,374147
2023,金屬製品製造業,出口額,百萬元,352829,136059,216770
2023,電子零組件製造業,出口額,百萬元,4511841,362750,4149091
2023,電腦、電子產品及光學製品製造業,出口額,百萬元,1224688,63648,1161040
2023,電力設備及配備製造業,出口額,百萬元,213386,29601,183785
