年度,行業別,統計項目,單位,全部企業(百萬元),中小企業(百萬元),大企業(百萬元)
2022,飲料製造業,內銷額,百萬元,59078,33611,25467
2022,紡織業,內銷額,百萬元,274676,96659,178017
2022,成衣及服飾品製造業,內銷額,百萬元,41086,31478,9609
2022,皮革、毛皮及其製品製造業,內銷額,百萬元,31795,13549,18246
2022,木竹製品製造業,內銷額,百萬元,56534,46214,10320
2022,紙漿、紙及紙製品製造業,內銷額,百萬元,197767,128618,69149
2022,印刷及資料儲存媒體複製業,內銷額,百萬元,118477,83278,35199
2022,石油及煤製品製造業,內銷額,百萬元,525352,55767,469586
2022,化學原材料、肥料、氮化合物、塑橡膠原料及人造纖維製造業,內銷額,百萬元,811526,451889,359637
2022,其他化學製品製造業,內銷額,百萬元,225281,72521,152760
2022,藥品及醫用化學製品製造業,內銷額,百萬元,134720,16744,117976
2022,橡膠製品製造業,內銷額,百萬元,86145,39111,47034
2022,塑膠製品製造業,內銷額,百萬元,325327,234672,90655
2022,非金屬礦物製品製造業,內銷額,百萬元,354705,209164,145541
2022,基本金屬製造業,內銷額,百萬元,1144393,254085,890309
2022,金屬製品製造業,內銷額,百萬元,1118973,834877,284096
2022,電子零組件製造業,內銷額,百萬元,993336,237261,756075
2022,電腦、電子產品及光學製品製造業,內銷額,百萬元,389373,72730,316643
2022,電力設備及配備製造業,內銷額,百萬元,533571,198269,335303
2022,機械設備製造業,內銷額,百萬元,593907,384199,209708
2022,汽車及其零件製造業,內銷額,百萬元,526898,62474,464424
2022,其他運輸工具及其零件製造業,內銷額,百萬元,192273,77254,115019
2022,家具製造業,內銷額,百萬元,60263,39463,20800
2022,其他製造業,內銷額,百萬元,114929,65469,49460
2022,產業用機械設備維修及安裝業,內銷額,百萬元,219115,170266,48849
2023,總計,內銷額,百萬元,9209654,3936463,5273191
2023,食品及飼品製造業,內銷額,百萬元,747969,315558,432411
2023,飲料製造業,內銷額,百萬元,62196,37462,24734
2023,紡織業,內銷額,百萬元,237089,77447,159642
2023,成衣及服飾品製造業,內銷額,百萬元,37357,29599,7758
2023,皮革、毛皮及其製品製造業,內銷額,百萬元,27725,11107,16618
2023,木竹製品製造業,內銷額,百萬元,52503,42597,9906
2023,紙漿、紙及紙製品製造業,內銷額,百萬元,173481,111571,61909
2023,印刷及資料儲存媒體複製業,內銷額,百萬元,111546,78761,32785
2023,石油及煤製品製造業,內銷額,百萬元,479419,77833,401586
2023,化學材料及肥料製造業,內銷額,百萬元,646249,364906,281342
