年度,行業別,統計項目,單位,全部企業(百萬元),中小企業(百萬元),大企業(百萬元)
2024,運輸及倉儲業　,銷售額,百萬元,1771057,1079046,692011
2024,住宿及餐飲業　,銷售額,百萬元,1013857,874216,139641
2024,出版影音及資通訊業　,銷售額,百萬元,1886847,997187,889660
2024,金融及保險業,銷售額,百萬元,4193644,1993658,2199986
2024,不動產業　,銷售額,百萬元,2453890,1251398,1202492
2024,專業、科學及技術服務業　,銷售額,百萬元,1169202,776719,392483
2024,支援服務業　,銷售額,百萬元,722426,422030,300396
2024,教育業　,銷售額,百萬元,38099,34752,3347
2024,醫療保健及社會工作服務業　,銷售額,百萬元,49873,44664,5209
2024,藝術、娛樂及休閒服務業　,銷售額,百萬元,170338,144424,25914
2024,其他服務業　,銷售額,百萬元,315540,277654,37886
